Breed,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
dogue_de_bordeaux,"Affectionate, Loyal, Courageous",67,58.42,66.04,44.90564463,49.8951607,5.0,8.0,Working Group,0.2,Occasional Bath/Brush,0.8,Regularly,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive
drentsche_patrijshond,"Loyal, Intelligent, Sensitive",,53.34,63.5,21.77243376,33.11224301,11.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,0.8,Regularly,0.8,Energetic,0.6,Agreeable,0.4,Reserved with Strangers
drever,"Loyal, Even-Tempered, Determined",,30.48,38.1,15.87573295,18.1436948,15.0,15.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.4,Occasional,0.6,Regular Exercise,0.2,May be Stubborn,0.6,Alert/Responsive
dutch_shepherd,"Intelligent, Lively, Athletic",,54.61,62.23,19.05087954,34.01942775,11.0,14.0,Miscellaneous Class,0.4,Weekly Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,0.6,Agreeable,0.6,Alert/Responsive
english_cocker_spaniel,"Energetic, Merry, Responsive",52,38.1,43.18,11.79340162,15.42214058,12.0,14.0,Sporting Group,0.6,2-3 Times a Week Brushing,0.4,Occasional,0.6,Regular Exercise,1.0,Eager to Please,0.8,Friendly
english_foxhound,"Affectionate, Gentle, Sociable",188,60.96,60.96,27.2155422,34.01942775,10.0,13.0,Hound Group,0.2,Occasional Bath/Brush,0.8,Regularly,0.8,Energetic,0.6,Agreeable,0.8,Friendly
english_setter,"Friendly, Mellow, Merry",94,58.42,68.58,20.41165665,36.2873896,12.0,12.0,Sporting Group,0.6,2-3 Times a Week Brushing,0.8,Regularly,0.8,Energetic,0.8,Easy Training,0.8,Friendly
english_springer,"Friendly, Playful, Obedient",27,48.26,50.8,18.1436948,22.6796185,12.0,14.0,Sporting Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,1.0,Eager to Please,0.8,Friendly
english_toy_spaniel,"Gentle, Playful, Intelligent",135,22.86,25.4,3.62873896,6.35029318,10.0,12.0,Toy Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive
entlebucher,"Loyal, Smart, Enthusiastic",157,40.64,53.34,18.1436948,29.48350405,11.0,13.0,Herding Group,0.2,Occasional Bath/Brush,0.2,Infrequent,1.0,Needs Lots of Activity,0.4,Independent,0.4,Reserved with Strangers
